Bill_No,Acct_No,Bill_Date,Due_Date,B_Status,MR_Sys_No,Due_Penalty,Penalized,B_Code,Receivable,Collected
10255131,211207846,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338823,38.75,TRUE,7,387.25,0
10255131,211207846,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338823,38.75,TRUE,10,38.75,0
10255137,211207847,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338824,20,TRUE,3,220,0
10255137,211207847,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338824,20,TRUE,7,200,0
10255137,211207847,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338824,20,TRUE,10,20,0
10255159,211207848,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338825,20,TRUE,3,440,440
10255159,211207848,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338825,20,TRUE,7,200,0
10255159,211207848,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338825,20,TRUE,10,20,0
10255464,211207849,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338930,46.75,FALSE,7,467.5,467.5
10254965,211207850,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338826,20,TRUE,3,220,220
10254965,211207850,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338826,20,TRUE,7,200,0
10254965,211207850,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338826,20,TRUE,10,20,0
10254993,211207851,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338827,25.35,FALSE,3,646,646
10254993,211207851,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338827,25.35,FALSE,7,253.5,253.5
10255017,211207852,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338828,20,FALSE,3,220,220
10255017,211207852,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338828,20,FALSE,7,200,200
10255028,211207853,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338829,20,TRUE,3,337.7,0
10255028,211207853,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338829,20,TRUE,7,200,0
10255028,211207853,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338829,20,TRUE,10,20,0
10255138,211207854,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338830,20,FALSE,7,200,200
10256326,211207855,10/05/18 12:00 AM,10/20/18 12:00 AM,2,339894,36.05,TRUE,7,360.5,0
10256326,211207855,10/05/18 12:00 AM,10/20/18 12:00 AM,2,339894,36.05,TRUE,10,36.05,0
10254940,211207856,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338831,20,FALSE,3,220,220
10254940,211207856,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338831,20,FALSE,7,200,200
10255002,211207857,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338832,20,FALSE,7,200,200
10255011,211207858,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338833,20,FALSE,7,200,200
10255125,211207860,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338834,20,FALSE,3,220,220
10255125,211207860,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338834,20,FALSE,7,200,200
10255151,211207861,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338835,20,FALSE,7,200,200
10255162,211207862,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338836,20,FALSE,7,200,200
10255178,211207864,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338837,47.65,TRUE,7,501.25,0
10255178,211207864,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338837,47.65,TRUE,10,47.65,0
10255171,211207865,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338838,20,FALSE,3,220,220
10255171,211207865,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338838,20,FALSE,7,200,200
10255206,211207869,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338839,53.5,TRUE,3,484.85,0
10255206,211207869,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338839,53.5,TRUE,7,535,0
10255206,211207869,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338839,53.5,TRUE,10,53.5,0
10255208,211207870,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338840,20,TRUE,3,484.85,0
10255208,211207870,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338840,20,TRUE,7,200,0
10255208,211207870,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338840,20,TRUE,10,20,0
10255215,211207871,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338841,20,FALSE,7,200,200
10255209,211207872,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338842,20,TRUE,3,220,0
10255209,211207872,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338842,20,TRUE,7,200,0
10255209,211207872,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338842,20,TRUE,10,20,0
10254699,211207873,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338843,22.7,FALSE,7,226.75,226.75
10254711,211207874,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338844,20,FALSE,7,200,200
10254994,211207875,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338845,20,TRUE,7,200,0
10254994,211207875,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338845,20,TRUE,10,20,0
10255013,211207876,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338846,101,TRUE,7,1010,0
10255013,211207876,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338846,101,TRUE,10,101,0
10255021,211207877,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338847,36.05,FALSE,7,360.5,360.5
10254864,211207878,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338848,20,TRUE,3,220,0
10254864,211207878,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338848,20,TRUE,7,200,0
10254864,211207878,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338848,20,TRUE,10,20,0
10255504,211207879,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338931,30.7,TRUE,3,455.4,455.4
10255504,211207879,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338931,30.7,TRUE,7,307,0
10255504,211207879,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338931,30.7,TRUE,10,30.7,0
10255027,211207880,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338849,36.05,FALSE,7,360.5,360.5
10255127,211207881,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338850,20,TRUE,7,200,0
10255127,211207881,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338850,20,TRUE,10,20,0
10254995,211207882,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338851,38.75,FALSE,3,551.4,551.4
10254995,211207882,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338851,38.75,FALSE,7,387.25,387.25
10255060,211207883,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338852,20,FALSE,3,249.45,249.45
10255060,211207883,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338852,20,FALSE,7,200,200
10254916,211207884,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338853,44.1,TRUE,3,484.85,0
10254916,211207884,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338853,44.1,TRUE,7,440.75,0
10254916,211207884,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338853,44.1,TRUE,10,44.1,0
10254958,211207885,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338854,20,TRUE,7,200,0
10254958,211207885,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338854,20,TRUE,10,20,0
10255007,211207886,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338855,20,TRUE,3,440,440
10255007,211207886,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338855,20,TRUE,7,200,0
10255007,211207886,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338855,20,TRUE,10,20,0
10255023,211207887,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338856,30.7,FALSE,3,220,220
10255023,211207887,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338856,30.7,FALSE,7,307,307
10255024,211207888,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338857,20,TRUE,3,440,0
10255024,211207888,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338857,20,TRUE,7,200,0
10255024,211207888,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338857,20,TRUE,10,20,0
10255035,211207890,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338858,30,TRUE,3,660,660
10255035,211207890,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338858,30,TRUE,7,300,0
10255035,211207890,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338858,30,TRUE,10,30,0
10254686,211207891,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338859,20,TRUE,7,200,0
10254686,211207891,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338859,20,TRUE,10,20,0
10254910,211207892,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338860,25.35,TRUE,3,308.3,308.3
10254910,211207892,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338860,25.35,TRUE,7,253.5,253.5
10254910,211207892,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338860,25.35,TRUE,10,25.35,25.35
10255005,211207893,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338861,20,FALSE,7,200,200
10254682,211207894,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338862,212.6,TRUE,3,902.25,0
10254682,211207894,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338862,212.6,TRUE,7,2126,0
10254682,211207894,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338862,212.6,TRUE,10,212.6,0
10254902,211207895,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338863,22.7,TRUE,7,226.75,0
10254902,211207895,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338863,22.7,TRUE,10,22.7,0
10254990,211207897,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338865,20,FALSE,3,220,220
10254990,211207897,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338865,20,FALSE,7,200,200
10254999,211207898,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338866,20,TRUE,3,220,220
10254999,211207898,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338866,20,TRUE,7,200,0
10254999,211207898,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338866,20,TRUE,10,20,0
10254852,211207900,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338867,20,TRUE,3,220,220
10254852,211207900,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338867,20,TRUE,7,200,200
10254852,211207900,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338867,20,TRUE,10,20,20
10254959,211207901,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338868,20,TRUE,7,200,0
10254959,211207901,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338868,20,TRUE,10,20,0
10254978,211207902,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338869,22.7,TRUE,3,249.45,249.45
10254978,211207902,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338869,22.7,TRUE,7,226.75,0
10254978,211207902,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338869,22.7,TRUE,10,22.7,0
10255006,211207903,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338870,929.75,FALSE,3,9470.85,9470.85
10255006,211207903,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338870,929.75,FALSE,7,9297.2,9297.2
10254879,211207904,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338871,20,FALSE,3,220,220
10254879,211207904,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338871,20,FALSE,7,200,200
10254952,211207905,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338872,827.65,FALSE,7,8276.4,8276.4
10255164,211207906,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338873,20,FALSE,7,200,200
10254868,211207907,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338874,22.7,TRUE,3,278.85,0
10254868,211207907,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338874,22.7,TRUE,7,226.75,0
10254868,211207907,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338874,22.7,TRUE,10,22.7,0
10254840,211207908,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338875,28.05,FALSE,7,280.25,280.25
10254951,211207909,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338876,20,TRUE,7,200,0
10254951,211207909,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338876,20,TRUE,10,20,0
10254976,211207910,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338877,20,FALSE,7,200,200
10254920,211207911,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338878,20,TRUE,3,220,0
10254920,211207911,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338878,20,TRUE,7,200,0
10254920,211207911,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338878,20,TRUE,10,20,0
10254998,211207912,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338879,22.7,TRUE,3,220,0
10254998,211207912,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338879,22.7,TRUE,7,226.75,0
10254998,211207912,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338879,22.7,TRUE,10,22.7,0
10255141,211207913,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338880,30.7,FALSE,7,307,307
10254858,211207914,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338881,20,TRUE,7,200,0
10254858,211207914,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338881,20,TRUE,10,20,0
10254981,211207915,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338882,41.4,FALSE,7,414,414
10255189,211207916,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338883,30.7,FALSE,3,337.7,337.7
10255189,211207916,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338883,30.7,FALSE,7,307,307
10254953,211207917,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338884,20,TRUE,7,200,0
10254953,211207917,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338884,20,TRUE,10,20,0
10254644,211207918,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338885,50.7,FALSE,7,507,507
10254937,211207919,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338905,20,TRUE,3,308.3,0
10254937,211207919,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338905,20,TRUE,7,200,0
10254937,211207919,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338905,20,TRUE,10,20,0
10254704,211207920,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338902,253.2,FALSE,7,2532,2532
10254962,211207921,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338908,105.55,TRUE,7,1055.2,0
10254962,211207921,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338908,105.55,TRUE,10,105.55,0
10255203,211207922,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338912,38.75,FALSE,7,387.25,387.25
10255531,211207923,10/03/18 12:00 AM,10/18/18 12:00 AM,2,339321,20,TRUE,7,200,200
10255531,211207923,10/03/18 12:00 AM,10/18/18 12:00 AM,2,339321,20,TRUE,10,20,20
10254685,212200650,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338886,63.65,FALSE,7,636.25,636.25
10254683,213200630,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338887,155.2,FALSE,7,1552,1552
10254653,214200214,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338888,286.6,TRUE,7,2866,0
10254653,214200214,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338888,286.6,TRUE,10,286.6,0
10254666,214200330,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338889,836.95,FALSE,7,8369.2,8369.2
10254797,214202690,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338890,33.4,TRUE,7,333.75,0
10254797,214202690,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338890,33.4,TRUE,10,33.4,0
10254842,214203430,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338891,25.35,TRUE,3,234.25,0
10254842,214203430,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338891,25.35,TRUE,7,253.5,0
10254842,214203430,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338891,25.35,TRUE,10,25.35,0
10255043,214204770,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338892,33.4,TRUE,3,562.65,0
10255043,214204770,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338892,33.4,TRUE,7,333.75,0
10255043,214204770,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338892,33.4,TRUE,10,33.4,0
10254684,215200640,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338893,127.25,FALSE,7,1272.5,1272.5
10255042,215204760,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338894,2498.05,FALSE,7,24980.4,24980.4
10255632,311200000,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338932,38.75,FALSE,7,387.25,387.25
10255249,311200020,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338933,25.35,FALSE,7,253.5,253.5
10255251,311200040,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338934,38.75,TRUE,7,387.25,0
10255251,311200040,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338934,38.75,TRUE,10,38.75,0
10255256,311200080,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338935,113.3,FALSE,3,31252.95,0
10255256,311200080,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338935,113.3,FALSE,7,1133,0
10255252,311200090,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338936,20,FALSE,3,220,220
10255252,311200090,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338936,20,FALSE,7,200,200
10255254,311200100,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338937,20,FALSE,7,200,200
10255257,311200140,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338938,70.4,FALSE,3,3092.25,0
10255257,311200140,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338938,70.4,FALSE,7,703.75,0
10255258,311200150,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338939,73.75,FALSE,7,737.5,737.5
10255259,311200180,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338940,20,FALSE,7,200,190
10255370,311200190,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338941,20,TRUE,7,200,200
10255370,311200190,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338941,20,TRUE,10,20,20
10255260,311200200,10/03/18 12:00 AM,10/18/18 12:00 AM,2,339317,20,FALSE,7,200,200
10255261,311200210,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338942,20,TRUE,3,0.75,0
10255261,311200210,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338942,20,TRUE,7,200,0
10255261,311200210,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338942,20,TRUE,10,20,0
10255367,311200216,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338943,20,TRUE,3,337.7,0
10255367,311200216,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338943,20,TRUE,7,200,0
10255367,311200216,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338943,20,TRUE,10,20,0
10255262,311200220,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338944,25.35,TRUE,3,367.15,0
10255262,311200220,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338944,25.35,TRUE,7,253.5,0
10255262,311200220,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338944,25.35,TRUE,10,25.35,0
10255263,311200230,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338945,46.75,FALSE,7,467.5,467.5
10255264,311200250,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338946,33.4,FALSE,7,333.75,333.75
10255265,311200260,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338947,46.75,FALSE,7,467.5,467.5
10254672,311200270,10/02/18 12:00 AM,10/17/18 12:00 AM,2,338895,20,FALSE,7,200,200
10255266,311200290,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338948,20,FALSE,7,200,200
10255267,311200300,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338949,20,FALSE,7,200,200
10255268,311200310,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338950,30.7,FALSE,7,307,307
10255270,311200330,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338951,20,FALSE,7,200,200
10256053,311200331,10/04/18 12:00 AM,10/19/18 12:00 AM,2,339325,20,FALSE,7,200,200
10255271,311200350,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338952,110.6,TRUE,7,1105.8,0
10255271,311200350,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338952,110.6,TRUE,10,110.6,0
10256712,311200360,10/05/18 12:00 AM,10/20/18 12:00 AM,2,339895,50.15,FALSE,7,501.25,476.19
10255272,311200380,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338953,46.75,FALSE,7,467.5,444.13
10255273,311200390,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338954,25.35,TRUE,7,253.5,253.5
10255273,311200390,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338954,25.35,TRUE,10,25.35,25.35
10255275,311200400,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338955,20,FALSE,7,200,200
10255277,311200410,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338956,20,TRUE,7,200,0
10255277,311200410,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338956,20,TRUE,10,20,0
10255278,311200430,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338957,20,FALSE,7,200,190
10255279,311200440,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338958,33.4,TRUE,7,333.75,333.75
10255279,311200440,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338958,33.4,TRUE,10,33.4,33.4
10255280,311200450,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338959,53.5,FALSE,7,535,535
10255281,311200490,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338960,77.15,FALSE,7,771.25,771.25
10255282,311200500,10/03/18 12:00 AM,10/18/18 12:00 AM,2,339318,53.5,FALSE,7,535,535
10255283,311200510,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338961,44.1,FALSE,7,440.75,440.75
10255284,311200520,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338962,38.75,TRUE,3,220,0
10255284,311200520,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338962,38.75,TRUE,7,387.25,0
10255284,311200520,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338962,38.75,TRUE,10,38.75,0
10255285,311200550,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338963,44.1,TRUE,7,440.75,0
10255285,311200550,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338963,44.1,TRUE,10,44.1,0
10255286,311200560,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338964,41.4,TRUE,7,414,0
10255286,311200560,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338964,41.4,TRUE,10,41.4,0
10255287,311200570,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338965,30.7,TRUE,7,307,0
10255287,311200570,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338965,30.7,TRUE,10,30.7,0
10255289,311200600,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338966,44.1,TRUE,7,440.75,0
10255289,311200600,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338966,44.1,TRUE,10,44.1,0
10255292,311200650,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338967,818.4,FALSE,7,8183.6,8183.6
10255293,311200670,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338968,29.2,TRUE,7,307,0
10255293,311200670,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338968,29.2,TRUE,10,29.2,0
10255297,311200680,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338969,41.4,FALSE,7,414,414
10255295,311200700,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338970,172.55,FALSE,7,1725.4,1725.4
10255296,311200710,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338971,67,FALSE,7,670,636.5
10255299,311200740,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338972,46.75,FALSE,7,467.5,467.5
10255300,311200750,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338973,20,TRUE,3,367.15,0
10255300,311200750,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338973,20,TRUE,7,200,0
10255300,311200750,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338973,20,TRUE,10,20,0
10255302,311200760,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338974,20,FALSE,7,200,190
10255276,311200761,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338975,30.7,FALSE,7,307,307
10255303,311200762,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338976,50.15,TRUE,7,501.25,0
10255303,311200762,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338976,50.15,TRUE,10,50.15,0
10255301,311200763,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338977,90.35,FALSE,7,903.4,903.4
10255304,311200770,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338978,28.05,FALSE,3,348.8,348.8
10255304,311200770,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338978,28.05,FALSE,7,280.25,266.24
10255305,311200780,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338979,20,FALSE,7,200,200
10255306,311200790,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338980,44.1,TRUE,3,220,0
10255306,311200790,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338980,44.1,TRUE,7,440.75,0
10255306,311200790,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338980,44.1,TRUE,10,44.1,0
10255308,311200810,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338981,41.4,FALSE,7,414,414
10255310,311200820,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338982,20,FALSE,7,200,200
10255312,311200980,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338983,20,FALSE,7,200,200
10255291,311200981,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338984,33.4,FALSE,7,333.75,333.75
10255313,311200982,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338985,30.7,FALSE,7,307,307
10255314,311200991,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338986,20,TRUE,3,220,0
10255314,311200991,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338986,20,TRUE,7,200,0
10255314,311200991,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338986,20,TRUE,10,20,0
10255316,311201030,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338987,60.25,TRUE,7,602.5,0
10255316,311201030,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338987,60.25,TRUE,10,60.25,0
10255317,311201190,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338988,20,FALSE,7,200,200
10255320,311201230,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338989,36.05,TRUE,3,396.55,0
10255320,311201230,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338989,36.05,TRUE,7,360.5,0
10255320,311201230,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338989,36.05,TRUE,10,36.05,0
10255323,311201240,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338990,20,TRUE,3,220,0
10255323,311201240,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338990,20,TRUE,7,200,0
10255323,311201240,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338990,20,TRUE,10,20,0
10255322,311201250,10/03/18 12:00 AM,10/18/18 12:00 AM,2,338991,46.75,TRUE,7,467.5,0
